"player_id","full_name","position","posteam","targets","carries","team_targets","team_carries","catch_percentage","yards_per_carry","yards_per_rec","exp_ppg","games","carry_share","target_share"
NA,NA,NA,"BAL",2,0,53,69,0,0,0,1.28,2,0,0.0377358490566038
NA,NA,NA,"BUF",4,0,110,90,0,0,0,2.18333333333333,3,0,0.0363636363636364
NA,NA,NA,"CAR",10,0,129,65,0,0,0,4.48,3,0,0.0775193798449612
NA,NA,NA,"CHI",4,0,88,71,0,0,0,2.72333333333333,3,0,0.0454545454545455
NA,NA,NA,"CIN",6,0,122,58,0,0,0,2.63,3,0,0.0491803278688525
NA,NA,NA,"CLE",2,0,33,31,0,0,0,3.63,1,0,0.0606060606060606
NA,NA,NA,"DAL",4,0,78,77,0,0,0,3.68,2,0,0.0512820512820513
NA,NA,NA,"DEN",9,0,104,65,0,0,0,3.76666666666667,3,0,0.0865384615384615
NA,NA,NA,"DET",6,0,103,92,0,0,0,2.30666666666667,3,0,0.058252427184466
NA,NA,NA,"GB",1,0,44,26,0,0,0,1.06,1,0,0.0227272727272727
NA,NA,NA,"HOU",6,0,121,75,0,0,0,2.30333333333333,3,0,0.0495867768595041
NA,NA,NA,"IND",4,0,77,58,0,0,0,2.81,2,0,0.051948051948052
NA,NA,NA,"JAX",3,0,84,45,0,0,0,2.61,2,0,0.0357142857142857
NA,NA,NA,"KC",4,0,118,82,0,0,0,2.16333333333333,3,0,0.0338983050847458
NA,NA,NA,"LA",5,0,126,75,0,0,0,2.59666666666667,3,0,0.0396825396825397
NA,NA,NA,"LAC",4,0,74,61,0,0,0,4.005,2,0,0.0540540540540541
NA,NA,NA,"LV",1,0,24,15,0,0,0,0.91,1,0,0.0416666666666667
NA,NA,NA,"MIA",2,0,75,50,0,0,0,3.565,2,0,0.0266666666666667
NA,NA,NA,"MIN",3,0,94,33,0,0,0,2.5,2,0,0.0319148936170213
NA,NA,NA,"NE",2,0,29,40,0,0,0,2.15,1,0,0.0689655172413793
NA,NA,NA,"NO",3,0,37,33,0,0,0,4.86,1,0,0.0810810810810811
NA,NA,NA,"NYG",4,0,100,66,0,0,0,3.38666666666667,3,0,0.04
NA,NA,NA,"NYJ",14,0,85,66,0,0,0,5.59,3,0,0.164705882352941
NA,NA,NA,"PHI",6,0,93,113,0,0,0,3.83666666666667,3,0,0.0645161290322581
NA,NA,NA,"PIT",3,0,104,62,0,0,0,0.873333333333333,3,0,0.0288461538461538
